iter	MultiClass
0	0.9895637635
1	0.914088899
2	0.8552444986
3	0.807361134
4	0.7739204198
5	0.7464379373
6	0.7210879571
7	0.6979558807
8	0.680053342
9	0.6648236563
10	0.648638471
11	0.639223447
12	0.6284427026
13	0.6164255688
14	0.6070253373
15	0.5991877303
16	0.5875700877
17	0.5814848504
18	0.5748237619
19	0.567270847
20	0.5610352253
21	0.5533400148
22	0.5485798916
23	0.5429495945
24	0.5377171566
25	0.5337193995
26	0.5281485967
27	0.5248504815
28	0.51986252
29	0.518058369
30	0.5140648315
31	0.509919877
32	0.506198224
33	0.4999490072
34	0.4966951506
35	0.4939636676
36	0.4896727665
37	0.4840845295
38	0.4803615182
39	0.4762004526
40	0.4740428715
41	0.4708848695
42	0.4661175881
43	0.4632904541
44	0.4586926571
45	0.454836083
46	0.4519890632
47	0.4495622664
48	0.4463277827
49	0.4424528026
50	0.4397969339
51	0.4359642888
52	0.431899948
53	0.4273780466
54	0.4237458593
55	0.4208212127
56	0.4185303983
57	0.4161401568
58	0.4139561119
59	0.4112156991
60	0.4098025784
61	0.4068139527
62	0.4034644214
63	0.4002903407
64	0.3973120697
65	0.3946692231
66	0.3904096062
67	0.387577609
68	0.3837726907
69	0.3814775119
70	0.3791745019
71	0.3773427334
72	0.3740659383
73	0.3696186178
74	0.3667255043
75	0.3642454718
76	0.3625208898
77	0.3600563247
78	0.3582262544
79	0.3554032921
80	0.3526853412
81	0.3514998615
82	0.3493144441
83	0.3471103952
84	0.3450430285
85	0.3414829984
86	0.3393321098
87	0.3373165595
88	0.3340747663
89	0.3316484135
90	0.3286083284
91	0.3264096473
92	0.3231922499
93	0.3214681307
94	0.3186179376
95	0.3167971245
96	0.3150938361
97	0.3130036903
98	0.3109652923
99	0.3086661006
100	0.306972603
101	0.3053885871
102	0.3031957591
103	0.3018715509
104	0.2997446264
105	0.2982846087
106	0.2954515337
107	0.2932809781
108	0.2914900448
109	0.2890169994
110	0.2869758179
111	0.2854535775
112	0.2835613968
113	0.2819652333
114	0.2813399611
115	0.2782366759
116	0.2764470766
117	0.275410912
118	0.2742751441
119	0.2722958718
120	0.2718350383
121	0.2712716009
122	0.2699303775
123	0.268484518
124	0.2672164461
125	0.2656208263
126	0.2634302825
127	0.2617320811
128	0.2602751527
129	0.259105986
130	0.2575902147
131	0.2563354845
132	0.2548540503
133	0.2533538638
134	0.2522025547
135	0.2502086562
136	0.2489738313
137	0.248112717
138	0.2464451989
139	0.245280022
140	0.2436516304
141	0.2413625946
142	0.2397770724
143	0.2380745227
144	0.2363085498
145	0.2351791095
146	0.2340493828
147	0.2328972304
148	0.2313880864
149	0.2300494588
150	0.2285940338
151	0.2266782938
152	0.2252374548
153	0.2243113193
154	0.2229242196
155	0.2218101693
156	0.2204405057
157	0.2200493017
158	0.2186372321
159	0.2166770218
160	0.2156956224
161	0.214766943
162	0.2139244584
163	0.2127140224
164	0.211456705
165	0.2101764867
166	0.2091472645
167	0.2081301889
168	0.2067588156
169	0.2055472358
170	0.2043517414
171	0.2032562878
172	0.2021889121
173	0.2012093663
174	0.2000498197
175	0.1990461451
176	0.1984497085
177	0.197168557
178	0.1960216523
179	0.1944719033
180	0.1937298987
181	0.1929839412
182	0.1914355961
183	0.1899874182
184	0.1889003138
185	0.1877011342
186	0.1862159422
187	0.1857469702
188	0.1850780016
189	0.1837161358
190	0.1825517727
191	0.1812311083
192	0.1806032356
193	0.179359818
194	0.1781359363
195	0.1775402711
196	0.1768296822
197	0.1757459387
198	0.1746371283
199	0.1732053342
200	0.1728090663
201	0.1718375155
202	0.1703800363
203	0.169850079
204	0.1689440187
205	0.1683932733
206	0.1677125634
207	0.1668963598
208	0.1661753945
209	0.1653611737
210	0.1643615082
211	0.1630441133
212	0.1619803803
213	0.1608796241
214	0.1605105225
215	0.1594901103
216	0.1584049919
217	0.1575401894
218	0.1565060324
219	0.1556600704
220	0.1549401623
221	0.1540458821
222	0.1528092582
223	0.152127629
224	0.1510719274
225	0.1502231867
226	0.1490428221
227	0.148361672
228	0.1477564347
229	0.146945646
230	0.1461354354
231	0.145560821
232	0.1449302405
233	0.1440350074
234	0.1436826233
235	0.1430779407
236	0.1424975947
237	0.141651973
238	0.1409777204
239	0.140479375
240	0.1394911379
241	0.1386645249
242	0.1378610853
243	0.1372398595
244	0.1364544779
245	0.1356189356
246	0.1349144205
247	0.1344391563
248	0.1337961157
249	0.1333339504
250	0.1326047804
251	0.1316954331
252	0.1312692374
253	0.1306209822
254	0.1300470622
255	0.1294810216
256	0.1290830709
257	0.1286326677
258	0.1281375681
259	0.1274668447
260	0.1266761272
261	0.125729638
262	0.1253086585
263	0.1247982128
264	0.1243526127
265	0.1235359998
266	0.1227664178
267	0.1223084945
268	0.1217105759
269	0.1212335019
270	0.1208651125
271	0.1204911613
272	0.1201000876
273	0.1192970325
274	0.1186924191
275	0.1178901354
276	0.1174891509
277	0.1169092556
278	0.1167001434
279	0.1161607983
280	0.1154411563
281	0.1150095504
282	0.1143723832
283	0.1140603159
284	0.1133162636
285	0.1128305077
286	0.1124840057
287	0.1120521757
288	0.1116749731
289	0.1113625318
290	0.1111161583
291	0.1104600888
292	0.1099632648
293	0.1096299287
294	0.1093664267
295	0.10892799
296	0.1086562598
297	0.1083843623
298	0.1080619906
299	0.1076814953
300	0.1072917963
301	0.1067417272
302	0.1060991052
303	0.1056083887
304	0.1049920297
305	0.1046328654
306	0.1042655268
307	0.1038775574
308	0.1033533695
309	0.1029588263
