iter	Passed	Remaining
0	3	3214
1	5	2692
2	7	2543
3	9	2404
4	11	2269
5	13	2232
6	15	2184
7	17	2133
8	19	2137
9	21	2100
10	23	2100
11	25	2101
12	27	2092
13	29	2083
14	31	2073
15	33	2053
16	35	2068
17	37	2065
18	39	2055
19	41	2054
20	43	2041
21	45	2027
22	47	2031
23	49	2019
24	51	2008
25	53	2009
26	55	2015
27	57	2012
28	59	2008
29	61	1998
30	63	1992
31	65	1989
32	67	1985
33	69	1982
34	71	1975
35	73	1970
36	75	1968
37	77	1964
38	79	1957
39	81	1957
40	83	1956
41	85	1960
42	88	1965
43	90	1957
44	92	1954
45	94	1950
46	95	1946
47	98	1944
48	100	1940
49	101	1935
50	103	1931
51	105	1926
52	107	1920
53	109	1921
54	111	1917
55	113	1914
56	116	1919
57	117	1912
58	119	1907
59	121	1905
60	123	1900
61	125	1896
62	127	1903
63	129	1899
64	131	1893
65	133	1891
66	135	1886
67	137	1882
68	139	1879
69	141	1875
70	143	1871
71	144	1867
72	146	1862
73	148	1857
74	150	1855
75	152	1851
76	154	1847
77	156	1846
78	157	1841
79	159	1837
80	162	1838
81	163	1833
82	165	1829
83	167	1826
84	170	1830
85	172	1832
86	174	1827
87	175	1823
88	177	1821
89	179	1817
90	181	1813
91	183	1813
92	185	1811
93	187	1810
94	190	1812
95	192	1809
96	194	1806
97	195	1803
98	197	1801
99	200	1802
100	202	1799
101	203	1795
102	205	1792
103	207	1789
104	209	1786
105	211	1782
106	213	1781
107	215	1778
108	217	1775
109	219	1776
110	221	1774
111	224	1776
112	226	1776
113	229	1783
114	231	1780
115	233	1778
116	235	1777
117	237	1778
118	240	1780
119	242	1779
120	244	1775
121	246	1773
122	248	1771
123	250	1768
124	252	1767
125	254	1764
126	256	1760
127	258	1760
128	260	1756
129	261	1752
130	264	1751
131	266	1749
132	267	1746
133	269	1744
134	271	1740
135	273	1737
136	275	1734
137	277	1731
138	278	1728
139	280	1725
140	282	1722
141	284	1718
142	286	1716
143	288	1714
144	290	1711
145	292	1708
146	293	1704
147	295	1702
148	297	1701
149	299	1698
150	301	1695
151	303	1694
152	305	1691
153	307	1688
154	309	1687
155	311	1684
156	313	1681
157	315	1680
158	317	1677
159	318	1674
160	320	1672
161	322	1669
162	324	1666
163	326	1666
164	328	1662
165	330	1660
166	332	1659
167	334	1657
168	336	1654
169	338	1652
170	340	1649
171	342	1646
172	343	1644
173	345	1641
174	347	1638
175	349	1636
176	351	1633
177	353	1631
178	355	1628
179	356	1625
180	358	1623
181	360	1621
182	362	1619
183	364	1616
184	366	1614
185	368	1612
186	370	1608
187	372	1607
188	373	1604
189	375	1602
190	378	1601
191	379	1598
192	381	1595
193	383	1593
194	385	1591
195	387	1589
196	389	1587
197	391	1585
198	393	1583
199	395	1582
200	397	1579
201	399	1577
202	401	1575
203	402	1572
204	404	1570
205	406	1567
206	408	1565
207	410	1563
208	412	1560
209	414	1558
210	416	1556
211	418	1554
212	420	1552
213	422	1551
214	424	1549
215	426	1547
216	428	1546
217	430	1544
218	432	1542
219	435	1542
220	437	1540
221	439	1539
222	441	1537
223	442	1534
224	444	1532
225	446	1530
226	448	1528
227	451	1528
228	453	1526
229	455	1523
230	457	1521
231	458	1519
232	460	1516
233	462	1515
234	464	1513
235	466	1510
236	468	1508
237	470	1506
238	472	1503
239	474	1501
240	476	1499
241	477	1497
242	480	1495
243	481	1493
244	483	1491
245	485	1488
246	487	1486
247	489	1483
248	491	1481
249	493	1479
250	495	1477
251	497	1475
252	498	1473
253	500	1471
254	502	1468
255	504	1466
256	506	1464
257	508	1462
258	510	1459
259	512	1457
260	514	1455
261	515	1453
262	517	1450
263	519	1448
264	521	1446
265	523	1443
266	525	1442
267	527	1440
268	529	1438
269	531	1436
270	533	1434
271	535	1432
272	537	1430
273	539	1428
274	541	1426
275	543	1424
276	544	1422
277	546	1420
278	548	1417
279	550	1415
280	552	1413
281	554	1411
282	556	1409
283	558	1406
284	559	1404
285	561	1402
286	563	1400
287	565	1398
288	567	1396
289	569	1394
290	571	1392
291	573	1390
292	575	1389
293	577	1386
294	579	1384
295	581	1383
296	583	1380
297	585	1378
298	587	1376
299	588	1373
300	590	1371
301	592	1369
302	594	1367
303	596	1365
304	598	1364
305	600	1361
306	602	1359
307	604	1357
308	606	1355
309	607	1352
310	609	1350
311	611	1348
312	613	1346
313	615	1345
314	617	1342
315	619	1340
316	621	1338
317	623	1336
318	624	1333
319	626	1331
320	628	1329
321	630	1327
322	632	1326
323	634	1323
324	636	1321
325	638	1320
326	640	1318
327	642	1316
328	644	1314
329	646	1312
330	648	1310
331	650	1308
332	652	1306
333	653	1303
334	655	1301
335	657	1299
336	659	1296
337	661	1294
338	662	1292
339	664	1290
340	666	1288
